threshold,long_window,short_window,precision,recall,f1_score,accuracy,mcc,true_positive_windows,false_positive_alerts,false_negative_windows,raw_nab_score,normalized_nab_score,model
0.9996,25,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9996,30,3,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9996,30,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9996,30,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9996,35,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9996,35,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9996,40,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9996,40,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9996,50,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9997,20,2,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9997,20,3,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9997,20,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9997,20,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9997,25,3,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9997,25,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9997,25,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9997,30,3,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9997,30,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9997,30,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9997,35,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9997,35,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9997,40,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9997,40,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9997,50,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9998,20,2,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9998,20,3,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9998,20,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9998,20,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9998,25,3,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9998,25,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9998,25,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9998,30,3,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9998,30,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9998,30,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9998,35,3,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9998,35,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9998,35,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9998,40,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9998,40,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9998,50,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9998,50,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9997,35,3,0.0,0.0,0.0,0.9634551495016611,-0.0011960463429957408,0,1,19,-38.11,-0.19298245614034987,ANN
0.9998,50,3,0.034482758620689655,0.001034126163391934,0.0020080321285140565,0.9624735729386892,-0.00035734079597601724,1,28,18,-38.19012028698769,-0.33354436313630276,ANN
0.999,50,5,0.0,0.0,0.0,0.9633796436122017,-0.0020716912511502808,0,3,19,-38.33,-0.5789473684210497,ANN
0.999,40,4,0.0,0.0,0.0,0.9633041377227424,-0.0026746428937191335,0,5,19,-38.55,-0.9649122807017494,ANN
0.9997,50,4,0.0,0.0,0.0,0.9633041377227424,-0.0026746428937191335,0,5,19,-38.55,-0.9649122807017494,ANN
0.9996,50,4,0.0,0.0,0.0,0.9632663847780126,-0.00292997981096898,0,6,19,-38.66,-1.1578947368420993,ANN
0.999,30,3,0.0,0.0,0.0,0.963228631833283,-0.0031647996554293066,0,7,19,-38.769999999999996,-1.3508771929824492,ANN
0.9995,35,3,0.0,0.0,0.0,0.963228631833283,-0.0031647996554293066,0,7,19,-38.769999999999996,-1.3508771929824492,ANN
0.9996,35,3,0.0,0.0,0.0,0.963228631833283,-0.0031647996554293066,0,7,19,-38.769999999999996,-1.3508771929824492,ANN
0.9998,40,3,0.0,0.0,0.0,0.963228631833283,-0.0031647996554293066,0,7,19,-38.769999999999996,-1.3508771929824492,ANN
0.9995,50,4,0.0,0.0,0.0,0.9631908788885533,-0.0033833770289647264,0,8,19,-38.879999999999995,-1.543859649122799,ANN
0.9995,40,2,0.06951871657754011,0.01344364012409514,0.022530329289428077,0.9574146783449109,0.014841868657199782,6,174,13,-40.085145472531984,-3.6581499518104983,ANN
0.999,35,2,0.06310679611650485,0.01344364012409514,0.022165387894288152,0.9566973723950468,0.012556488601049097,6,193,13,-42.06893808686825,-7.138487871698685,ANN
0.9998,50,2,0.05791505791505792,0.015511892450879007,0.024469820554649267,0.9548474781032921,0.011342829248236128,6,244,13,-47.43472938025982,-16.552156807473363,ANN
0.9997,50,2,0.06188925081433225,0.01964839710444674,0.029827315541601257,0.9533373603141045,0.014655195673825266,6,288,13,-52.27323293017452,-25.04075952662197,ANN
0.9996,50,2,0.06646525679758308,0.022750775594622543,0.03389830508474576,0.9526578073089701,0.01796893106532254,6,309,13,-54.576233859342544,-29.08111203393429,ANN
0.999,40,2,0.056,0.02171664943123061,0.03129657228017884,0.9509211718514045,0.012455204019001308,7,354,12,-56.61145276973233,-32.6516715258462,ANN
0.9995,50,2,0.06318681318681318,0.023784901758014478,0.03456048084147258,0.9514874660223498,0.01679187286878974,6,341,13,-57.93929600963424,-34.98122106953375,ANN
0.9998,25,1,0.058823529411764705,0.03412616339193381,0.04319371727748691,0.9448051948051948,0.01750318732706357,12,528,7,-62.278401608885986,-42.593687033133314,ANN
0.9998,20,1,0.05321100917431193,0.02998965873836608,0.03835978835978836,0.9451072183630324,0.01290902446157284,11,516,8,-63.172048004449515,-44.161487727104415,ANN
0.999,50,2,0.0650759219088937,0.031023784901758014,0.04201680672268908,0.9483539716097855,0.02027299263294003,6,431,13,-67.71960770547888,-52.139662641191016,ANN
